"treeid","common_name","age_class","canopy_radius","condition_class","desirability","height_class","overhead_lines","planting_type","root_infringement","stems","gtw_priority","estimated_value","tree_notes","est_pruning_hours","crew","date_inventoried","last_updated","other_species","i_tree_code","genus_species","genus","species","latitude","location_type","location_value","longitude","dedicated","dedication_year","dbh_1","dbh_2","dbh_3","dbh_4","dbh_5","dbh_height","adv_ass_root","adv_ass_stem","vtsa","isa_consequences","isa_failure","isa_fail_impact","isa_impact","isa_risk_rating","plant_part_concern","primary_target","secondary_target","date_rec","rcx","soils_1","soils_2","date_rec_1","prune","pruning_category","pruning_goal_1","pruning_goal_2","pruning_goal_other","pruning_system","date_rec_2","removal","date_rec_3","cable","cable_info","cable_size","date_rec_4","brace_rod","brace_rod_info","date_rec_5","date_rec_6","guy","guy_info","date_rec_7","date_rec_8","pest_disease_type_1","pest_disease_type_2","pest_disease_type_3","pest_disease_type_4","pest_disease_type_5","pest_disease_type_6","defect_other","defect_type_1","defect_type_2","defect_type_3","defect_type_4","defect_type_5","defect_type_6","addr_1","street_num","street_name","city","post_code","state","crn_light_exposure","total_height","tree_site","file_extension","filename","image_type"
411,"Katsuratree","Young",,"Good",0.73,,"No",1,"51-75%",1,,15.04,"",0,"STD","3/5/18","3/5/18","","CEJA","Cercidiphyllum japonicum","Cercidiphyllum","japonicum",40.53724734,"Street tree","Fair",-80.17552693,,1,1,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","","","","","","900 Centennial Ave","900","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
412,"Planetree-London","Mature",,"Good",0.65,,"Within 10 ft",1,"51-75%",1,"1",11264.41,"",0,"STD","3/5/18","3/5/18","","PLAC1","Platanus x acerifolia","Platanus","x acerifolia",40.53731233,"Street tree","Fair",-80.17563175,,1,29,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Reduce risk of branch stem and/or root failure","","Clean:N/A","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","900 Centennial Ave","900","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
413,"Honeylocust-Thornless Common","Young",,"Good",0.7,,"Within crown",1,"51-75%",1,"3",57.7,"",0,"STD","3/5/18","3/5/18","","GL3","Gleditsia triacanthos","Gleditsia","triacanthos",40.53753115,"Street tree","Fair",-80.17596417,,1,2,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","836 Centennial Ave","836","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
414,"Cherry","Young",,"Good",0.55,,"Within crown",1,"51-75%",1,,102,"",0,"STD","3/5/18","3/5/18","","PR","Prunus sp","Prunus","sp",40.53758643,"Street tree","Fair",-80.17601144,,1,3,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","832 Centennial Ave","832","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
415,"Cherry","Young",,"Good",0.55,,"Within crown",1,"51-75%",1,"3",181.34,"",0,"STD","3/5/18","3/5/18","","PR","Prunus sp","Prunus","sp",40.53765025,"Street tree","Fair",-80.17607598,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","828 Centennial Ave","828","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
416,"Cherry","Young",,"Good",0.55,,"Within crown",1,"51-75%",1,"3",181.34,"",0,"STD","3/5/18","3/5/18","","PR","Prunus sp","Prunus","sp",40.53769827,"Street tree","Fair",-80.17613244,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","","","","","","828 Centennial Ave","828","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
417,"Cherry","Young",,"Good",0.55,,"Within crown",1,"51-75%",1,,181.34,"",0,"STD","3/5/18","3/5/18","","PR","Prunus sp","Prunus","sp",40.53795463,"Street tree","Fair",-80.17636672,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","","","","","","822 Centennial Ave","822","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
418,"Hophornbeam-American","Young",,"Good",0.83,,"Within crown",1,"51-75%",1,"2",153.93,"",0,"STD","3/5/18","3/5/18","","OSVI","Ostrya virginiana","Ostrya","virginiana",40.53812071,"Street tree","Fair",-80.17652352,,1,3,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Reduce spread of crown","","Reduce:Overhead lines","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","818 Centennial Ave","818","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
419,"Hophornbeam-American","Young",,"Good",0.83,,"Within crown",1,"51-75%",1,"2",153.93,"",0,"STD","3/5/18","3/5/18","","OSVI","Ostrya virginiana","Ostrya","virginiana",40.53820502,"Street tree","Fair",-80.17659095,,1,3,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Reduce spread of crown","","Reduce:Overhead lines","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","818 Centennial Ave","818","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
420,"Parrotia-Persian","Young",,"Good",0.7,,"Within crown",1,"51-75%",1,"2",129.82,"",0,"STD","3/5/18","3/17/18","","PAPE","Parrotia persica","Parrotia","persica",40.53824616,"Street tree","Fair",-80.17664337,,1,3,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","808 Centennial Ave","808","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
421,"Cherry","Young",,"Good",0.55,,"Within crown",1,"51-75%",1,"2",181.34,"",0,"STD","3/5/18","3/17/18","","PR","Prunus sp","Prunus","sp",40.53841019,"Street tree","Fair",-80.17681122,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","720 Centennial Ave","720","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
422,"Parrotia-Persian","Young",,"Good",0.7,,"Within crown",1,"51-75%",1,"2",129.82,"",0,"STD","3/5/18","3/17/18","","PAPE","Parrotia persica","Parrotia","persica",40.53846741,"Street tree","Fair",-80.17686462,,1,3,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","","","","","","720 Centennial Ave","720","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
423,"Smoketree-Common","Young",,"Fair",0.7,,"Within crown",1,"51-75%",1,,92.73,"",0,"STD","3/5/18","3/17/18","","COCO1","Cotinus coggygria","Cotinus","coggygria",40.53853226,"Street tree","Fair",-80.17693329,,1,3,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Crack-stem","","","","","","718 Centennial Ave","718","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
424,"Parrotia-Persian","Young",,"Good",0.7,,"Within crown",1,"51-75%",1,"3",129.82,"",0,"STD","3/5/18","3/17/18","","PAPE","Parrotia persica","Parrotia","persica",40.53862381,"Street tree","Fair",-80.17700958,,1,3,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","","","","","","718 Centennial Ave","718","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
425,"Hophornbeam-American","Young",,"Good",0.83,,"Within crown",1,"51-75%",1,,17.1,"",0,"STD","3/5/18","3/17/18","","OSVI","Ostrya virginiana","Ostrya","virginiana",40.5388031,"Street tree","Fair",-80.17719269,,1,1,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","710 Centennial Ave","710","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
426,"Lilac-Japanese Tree","Young",,"Good",0.75,,"Within crown",1,"51-75%",1,,61.82,"",0,"STD","3/5/18","3/17/18","","SYRE","Syringa reticulata","Syringa","reticulata",40.53886795,"Street tree","Fair",-80.17724609,,1,2,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","706 Centennial Ave","706","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
427,"Lilac-Japanese Tree","Young",,"Good",0.75,,"Within crown",1,"51-75%",1,,61.82,"",0,"STD","3/5/18","3/17/18","","SYRE","Syringa reticulata","Syringa","reticulata",40.53892899,"Street tree","Fair",-80.17730713,,1,2,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","706 Centennial Ave","706","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
428,"Lilac-Japanese Tree","Young",,"Good",0.75,,"Within crown",1,"51-75%",1,"2",61.82,"",0,"STD","3/5/18","3/5/18","","SYRE","Syringa reticulata","Syringa","reticulata",40.53901557,"Street tree","Fair",-80.17739368,,1,2,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",1,"New 2","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","Soil heaving","","","","","702 Centennial Ave","702","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
429,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,,504.85,"",0,"STD","3/5/18","3/17/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.53920364,"Street tree","Fair",-80.17757416,,1,7,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Topping/heading cuts","","","","","","531 Straight St","531","Straight St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
430,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,"3",834.55,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.53928916,"Street tree","Fair",-80.17763813,,1,9,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Reduce density","","Thin:N/A","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Co-dominant stems","Topping/heading cuts","","","","","531 Straight St","531","Straight St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
431,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,,504.85,"",0,"STD","3/5/18","3/17/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.53939438,"Street tree","Fair",-80.17774963,,1,7,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","","","","","","606 Centennial Ave","606","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
432,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,"3",659.4,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.53949596,"Street tree","Fair",-80.17784737,,1,8,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Reduce density","","Thin:N/A","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","","","","","","604 Centennial Ave","604","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
433,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,"3",834.55,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.53958583,"Street tree","Fair",-80.17791813,,1,9,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Reduce density","","Thin:N/A","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","","","","","","600 Centennial Ave","600","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
434,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,"3",370.91,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.53965956,"Street tree","Fair",-80.17800624,,1,6,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Reduce density","","Thin:N/A","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","","","","","","556 Centennial Ave","556","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
435,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,"3",257.58,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.53971957,"Street tree","Fair",-80.17805458,,1,5,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Clearance","","Raise:Sidewalk;Street;0","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","","","","","","554 Centennial Ave","554","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
436,"Cherry","Young",,"Good",0.55,,"Within crown",1,"51-75%",1,,102,"",0,"STD","3/5/18","3/5/18","","PR","Prunus sp","Prunus","sp",40.53983729,"Street tree","Fair",-80.17817759,,1,3,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","","","","","","550 Centennial Ave","550","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
437,"Cherry","Young",,"Good",0.55,,"Within crown",1,"51-75%",1,"3",181.34,"",0,"STD","3/5/18","3/5/18","","PR","Prunus sp","Prunus","sp",40.53990386,"Street tree","Fair",-80.17823997,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Clearance","","Raise:Street;0","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","544 Centennial Ave","544","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
438,"Pear-Callery","Young",,"Good",0.5,,"Within crown",1,"51-75%",1,,164.85,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.53998678,"Street tree","Fair",-80.17830939,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","542 Centennial Ave","542","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
439,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,"3",659.4,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.54015376,"Street tree","Fair",-80.17847537,,1,8,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Reduce density","","Thin:N/A","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","","","","","","534 Centennial Ave","534","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
440,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,"3",504.85,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.54023128,"Street tree","Fair",-80.17854245,,1,7,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Reduce density","","Thin:N/A","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","","","","","","532 Centennial Ave","532","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
441,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,,257.58,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.54035423,"Street tree","Fair",-80.17865902,,1,5,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","","","","","","520 Centennial Ave","520","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
442,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,"3",257.58,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.5404064,"Street tree","Fair",-80.178713,,1,5,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Reduce density","","Thin:N/A","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","","","","","","520 Centennial Ave","520","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
443,"Parrotia-Persian","Young",,"Good",0.7,,"Within crown",1,"51-75%",1,,57.7,"",0,"STD","3/5/18","3/5/18","","PAPE","Parrotia persica","Parrotia","persica",40.54049532,"Street tree","Fair",-80.17879588,,1,2,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","","","","","","518 Centennial Ave","518","Centennial Ave","Sewickley",15143,"PA",5,-1,,"","","Undefined"
444,"Pear-Callery","Young",,"Good",0.5,,"Within crown",1,"51-75%",1,"3",257.58,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.54071001,"Street tree","Fair",-80.17899038,,1,5,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",1,"Maintenance","Reduce density","","Thin:N/A","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","Poor branch structure","","","","","550 Broad St","550","Broad St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
445,"Pear-Callery","Semi-mature",,"Good",0.5,,"Within crown",1,"51-75%",1,,504.85,"",0,"STD","3/5/18","3/5/18","","PYCA","Pyrus calleryana","Pyrus","calleryana",40.5411098,"Street tree","Fair",-80.17937379,,1,7,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"Mulch needed","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","601 Broad St","601","Broad St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
